10th July 2023     , Begun Development                                               , Add+, Started development of framework for Cockpit v2                                                                                 , Cockpit            , https://i.imgur.com/xR0JjJh.png
5th March 2025     , Added enabling/disabling Theming from Superadmin                , Add~, Added enabling/disabling Theming from Superadmin to allow for easier management                                                 , Cockpit            , https://i.imgur.com/xR0JjJh.png
5th March 2025     , Added enabling/disabling Theme Tab from Admin                   , Add~, Added enabling/disabling Theme Tab from Admin to allow for easier management                                                    , Cockpit            , https://i.imgur.com/xR0JjJh.png
6th March 2025     , Fixed an issue preventing setting control in Superadmin         , Fix~, Fixed an issue preventing setting control in Superadmin from working as expected.                                               , Cockpit            , https://i.imgur.com/xR0JjJh.png
8th March 2025     , Fixed some issues with uploading Modules                        , Fix~, Fixed some issues with uploading Modules in the Superadmin panel                                                                , Cockpit            , https://i.imgur.com/xR0JjJh.png
9th March 2025     , Added ability to take a backup of Module Settings               , Add~, Added ability to take a backup of Module Settings in the Superadmin panel                                                       , Cockpit            , https://i.imgur.com/xR0JjJh.png
9th March 2025     , Added ability to clear Module user data                         , Add~, Added ability to clear Module user data in the Superadmin panel                                                                 , Cockpit            , https://i.imgur.com/xR0JjJh.png
10th March 2025    , Cleaned up the Panel Modules section of Superadmin              , Fix~, Cleaned up the Panel Modules section of Superadmin to make it easier to manage                                                  , Cockpit            , https://i.imgur.com/xR0JjJh.png
10th March 2025    , Added better directory traversal catching in Module uploading   , Fix~, Fixed traversal attempt catching in Module uploading in the Superadmin panel                                                    , Cockpit            , https://i.imgur.com/xR0JjJh.png
10th March 2025    , Updated CORS proxy throughout the panel and modules             , Fix~, Updated CORS proxy throughout the panel and modules to allow for better handling of requests.                                   , Cockpit            , https://i.imgur.com/xR0JjJh.png
11th March 2025    , Fixed TheSportsDB Top/TV Today images not showing               , Fix~, Fixed an issue which would prevent TheSportsDB Top/TV Today images from showing in the WebViews.                                , Android Webviews   , https://i.imgur.com/N55kp3Z.png
11th March 2025    , Workarround for Sport-tv-gide.live 502 issue                    , Fix~, Added a workarround for the Sport-tv-gide.live 502 issue in the WebViews.                                                       , Android Webviews   , https://i.imgur.com/N55kp3Z.png
11th March 2025    , Switched to Header from cURL in some Webviews for compatability , Fix~, Switched to header from cURL in some Webviews for compatability with more apps.                                                 , Android Webviews   , https://i.imgur.com/N55kp3Z.png
12th March 2025    , Added support for RTX Smarters Pro v2.0TV/1.0Mobile Mods        , Add~, Added support for the RTX Mods version of the Smarters Pro v2.0TV/1.0Mobile app                                                 , Smarters Pro       , https://i.imgur.com/iEb97E1.png
12th March 2025    , Decoupled Windows Executable API for better support             , Fix~, Decoupled Windows Executable API for better support in Smarters Pro                                                             , Smarters Pro       , https://i.imgur.com/iEb97E1.png
13th March 2025    , Added vsdk endpoints to stop 404 errors                         , Add~, Added vsdk endpoints to stop 404 errors in Purple Player                                                                        , Purple Player      , https://i.imgur.com/DIUv5jl.png
15th March 2025    , Added support for PLGUIDE.php in some mods                      , Add~, Added support for 'PLGUIDE.php' in some mods to allow for Ibo 3.9 mods                                                          , IBO Solutions      , https://i.imgur.com/z13H3dJ.png
15th March 2025    , Made sure server id can not be NULL                             , Fix~, Made sure server id can not be NULL in some mods to prevent issues with the panel.                                              , IBO Solutions      , https://i.imgur.com/z13H3dJ.png
15th March 2025    , Re-worked the workarround for 502 sport-tv-guide.live issue     , Fix~, Re-worked the workarround for the 502 sport-tv-guide.live issue in the WebViews.                                                , Android Webviews   , https://i.imgur.com/N55kp3Z.png
15th March 2025    , Re-worked the loading of Custom WebViews throughout             , Fix~, Re-worked the loading of Custom WebViews throughout the panel and modules to allow for better handling of requests.             , Cockpit            , https://i.imgur.com/xR0JjJh.png
15th March 2025    , Replaced default tvsportguide with sport-tv-guide               , Fix~, Replaced default tvsportguide with sport-tv-guide.live in all webviews as its dead.                                             , Cockpit            , https://i.imgur.com/xR0JjJh.png
15th March 2025    , Disabled tvsportguide from Custom WebViews                      , Fix~, Disabled tvsportguide from Custom WebViews as its dead.                                                                         , Cockpit            , https://i.imgur.com/xR0JjJh.png
15th March 2025    , Made it more clear which requests are internal calls            , Fix~, Made it more clear which requests are internal calls in the panel and modules typically WebViews.                               , Cockpit            , https://i.imgur.com/xR0JjJh.png
16th March 2025    , Fixed broken JavaScript in TMDB Layout 21                       , Fix~, Fixed broken JavaScript in Layout 21 in the Android Webviews                                                                    , Android Webviews   , https://i.imgur.com/N55kp3Z.png
16th March 2025    , Show when no service assigned to client                         , Fix~, Show when no service assigned to client in the panel                                                                            , IBO Solutions      , https://i.imgur.com/z13H3dJ.png
16th March 2025    , Fixed tooltips in Purple Module appearance                      , Fix~, Fixed tooltips in Purple Module to show correctly                                                                               , Purple Player      , https://i.imgur.com/DIUv5jl.png
16th March 2025    , Allow jpg/jpeg images to be uploaded                            , Add~, Allow jpg/jpeg images to be uploaded in Purple Player                                                                           , Purple Player      , https://i.imgur.com/DIUv5jl.png
16th March 2025    , Added easier support for NUL (NONX) layout                      , Add~, Added easier support for NUL(NONX) layout in Purple Player                                                                      , Purple Player      , https://i.imgur.com/DIUv5jl.png
16th March 2025    , Added update info in Super Admin                                , Add~, Added update info in Super Admin to show the latest updates in the panel                                                        , Cockpit            , https://i.imgur.com/xR0JjJh.png
18th March 2025    , Hotfix for timed-out thesportsdb requests                       , Fix~, Hotfix for timed-out thesportsdb requests in the Android Webviews                                                               , Android Webviews   , https://i.imgur.com/N55kp3Z.png
19th March 2025    , Fixed editing Appstore                                          , Fix~, Fixed editing Appstore items from table in LTQ2                                                                                 , LTQ2               , https://i.imgur.com/5GYEXZD.png
19th March 2025    , Fixed editing Notitifications                                   , Fix~, Fixed editing Notifications from table in Purple Neu                                                                            , Purple Neu         , https://i.imgur.com/E9dZ2Dn.png
29th March 2025    , Finished cleaning up and refactoring all Modules                , Fix~, Cleaned up and refactored all modules to make them easier to manage and update and added additional security.                   , Cockpit            , https://i.imgur.com/xR0JjJh.png
30th March 2025    , Cleaned up UI in all Modules                                    , Fix~, Cleaned up UI in all modules to make it easier to navigate and use and be more inline with other modules.                       , Cockpit            , https://i.imgur.com/xR0JjJh.png
31st March 2025    , Added Custom CSS to Superadmin                                  , Add~, Added Custom CSS to Superadmin to allow for more indepth customization of the Panel.                                            , Cockpit            , https://i.imgur.com/xR0JjJh.png
31st March 2025    , Added support for Smarters Pro 4.1 rebrands                     , Add~, Added support for Smarters Pro 4.1 rebrands                                                                                     , Smarters Pro       , https://i.imgur.com/iEb97E1.png
1st April 2025     , Added support for RTXSport page in Smarters Pro 2.0             , Add~, Added support for the RTXSport page to Smarters Pro 2.0 mods.                                                                   , Smarters Pro       , https://i.imgur.com/iEb97E1.png
7th April 2025     , Fixed an issue with AndyHax IBO Pro 3.9 login mod               , Fix~, Fixed an issue where null data would be sent to the client list causing issues with the panel UI                                , IBO Solutions      , https://i.imgur.com/z13H3dJ.png
7th April 2025     , Added support for AndyHax IBO Pro 4.3 login mod                 , Add~, Added support for a slightly tweaked version of the Andyhax IBO Pro 4.3 mod                                                     , IBO Solutions      , https://i.imgur.com/z13H3dJ.png
7th April 2025     , Fixed routing issues with AndyHax VU Player 1.7 login mod       , Fix~, Fixed routing issues with the AndyHax VU Player 1.7 login mod preventing it working as expected                                 , VU Player          , https://i.imgur.com/2vX0q4C.png
12th April 2025    , Added more security in checking uploaded files                  , Fix~, Added more security in checking uploaded files to prevent bad actors from uploading malicious files.                            , Cockpit            , https://i.imgur.com/xR0JjJh.png
13th April 2025    , Fixed adding Image URLs in some modules                         , Fix~, Fixed an issue with adding image URLs in some modules which would not work as expected.                                         , Cockpit            , https://i.imgur.com/xR0JjJh.png
14th April 2025    , Checksum & File List checking when adding Modules               , Add~, Added checksum and file list check of Official Modules to prevent bad actors adding extra files to insecure panels.             , Cockpit            , https://i.imgur.com/xR0JjJh.png
15th April 2025    , Addressed some relatively exploitable issues with Base Panel    , Fix~, Addressed some relatively exploitable issues with the base panel and modules to prevent bad actors from exploiting the panel.   , Cockpit            , https://i.imgur.com/xR0JjJh.png
20th April 2025    , Added Two-Factor Authentication                                 , Add~, Added Two-Factor Authentication to the panel for better security.                                                               , Cockpit            , https://i.imgur.com/xR0JjJh.png
21st April 2025    , Updated System for Modern PHP                                   , Fix~, Upgraded system to work with latest PHP version for better security and performance.                                            , Cockpit            , https://i.imgur.com/xR0JjJh.png
25th April 2025    , Improved User Notifications                                     , Add~, Added modern notification system to replace pop-up alerts for better user experience.                                           , Cockpit            , https://i.imgur.com/xR0JjJh.png
28th April 2025    , Enhanced Error Messages                                         , Fix~, Better error handling with clearer messages throughout all sections.                                                            , Cockpit            , https://i.imgur.com/xR0JjJh.png
2nd May 2025       , Improved Dashboard Analytics                                    , Fix~, Better filtering of page views for more accurate dashboard statistics.                                                          , Cockpit            , https://i.imgur.com/xR0JjJh.png
5th May 2025       , Enhanced Help Documentation                                     , Add~, Updated help sections with more detailed and specific information for better user guidance.                                     , Cockpit            , https://i.imgur.com/xR0JjJh.png
10th May 2025      , Improved Data Management                                        , Fix~, More efficient operations for faster app and category management.                                                               , Cockpit            , https://i.imgur.com/xR0JjJh.png
18th May 2025      , Improved Category Management                                    , Fix~, Better handling of categories and PIN codes for organized content.                                                              , Cockpit            , https://i.imgur.com/xR0JjJh.png
20th May 2025      , Enhanced Store Management                                       , Fix~, Improved store creation with better organization and app association.                                                           , Cockpit            , https://i.imgur.com/xR0JjJh.png
22nd May 2025      , Improved Service Management                                     , Fix~, Enhanced service setup with better validation and security.                                                                     , Cockpit            , https://i.imgur.com/xR0JjJh.png
25th May 2025      , Enhanced Security Features                                      , Fix~, Improved security for secure data delivery to connected apps.                                                                   , Cockpit            , https://i.imgur.com/xR0JjJh.png
28th May 2025      , Added WebView Features                                          , Fix~, Content now automatically advances for better viewing experience and better UI.                                                 , Android Webviews   , https://i.imgur.com/N55kp3Z.png
1st June 2025      , Enhanced Application Management                                 , Fix~, Improved app management with better generation and validation.                                                                  , Cockpit            , https://i.imgur.com/xR0JjJh.png
2nd June 2025      , Fixed Sports Display Issues                                     , Fix~, Resolved missing images and broken layouts in sports sections.                                                                  , Android Webviews   , https://i.imgur.com/N55kp3Z.png
4th June 2025      , Better Service Integration                                      , Fix~, Enhanced service configuration with secure delivery.                                                                            , Cockpit            , https://i.imgur.com/xR0JjJh.png
5th June 2025      , Enhanced Mobile Experience                                      , Fix~, Better mobile viewing with improved touch controls and layouts.                                                                 , Android Webviews   , https://i.imgur.com/N55kp3Z.png
8th June 2025      , Added Family-Safe Content Filter                                , Fix~, Automatic filtering to ensure all content is appropriate for all ages.                                                          , Android Webviews   , https://i.imgur.com/N55kp3Z.png
10th June 2025     , Improved Performance                                            , Fix~, Faster loading and better responsiveness across all sections.                                                                   , Android Webviews   , https://i.imgur.com/N55kp3Z.png
12th June 2025     , Added Smart Caching System                                      , Add~, Faster loading times with intelligent caching for sports and movie data.                                                        , Android Webviews   , https://i.imgur.com/N55kp3Z.png
20th June 2025     , Improved Client Management                                      , Fix~, Enhanced client management with proper authentication and validation.                                                           , ORVPN              , https://i.imgur.com/OBzevBe.png
23rd June 2025     , Added QR Code Generator                                         , Add~, New QR code generator with smart URL handling to prevent broken links.                                                          , Cockpit            , https://i.imgur.com/xR0JjJh.png
23rd June 2025     , Fixed Image Upload System                                       , Fix~, Improved background image upload with proper file handling and progress tracking.                                               , Purple Player      , https://i.imgur.com/DIUv5jl.png
23rd June 2025     , Added Image View Modal                                          , Add~, Added popup functionality for viewing images with full-size preview.                                                            , Purple Player      , https://i.imgur.com/DIUv5jl.png
23rd June 2025     , Enhanced Maintenance System                                     , Fix~, Improved maintenance mode with better management and controls.                                                                  , Purple Player      , https://i.imgur.com/DIUv5jl.png
23rd June 2025     , Enhanced Configuration Management                               , Fix~, Improved settings management with better validation and error handling.                                                         , Smarters Pro       , https://i.imgur.com/iEb97E1.png
23rd June 2025     , Fixed User Authentication                                       , Fix~, Enhanced user identification with better IP address handling.                                                                   , Stremio            , https://i.imgur.com/546Gr2o.png
23rd June 2025     , Improved Service Setup                                          , Fix~, Enhanced service configuration with better data extraction and error handling.                                                  , Stremio            , https://i.imgur.com/546Gr2o.png
23rd June 2025     , Added Setup Instructions                                        , Add~, Added detailed step-by-step instructions for service configuration.                                                             , Stremio            , https://i.imgur.com/546Gr2o.png
23rd June 2025     , Enhanced Service Management                                     , Fix~, Improved service operations with better validation and error handling.                                                          , TiviMate           , https://i.imgur.com/uRg0UxZ.png
23rd June 2025     , Fixed Mobile Interface                                          , Fix~, Enhanced mobile viewing with responsive design and better layouts.                                                              , TiviMate           , https://i.imgur.com/uRg0UxZ.png
23rd June 2025     , Improved Configuration System                                   , Fix~, Enhanced configuration management with comprehensive settings and controls.                                                     , XCIPTV             , https://i.imgur.com/piaorjB.png
23rd June 2025     , Multiple module support                                         , Add~, Added support for multiple modules in the panel for better management.                                                          , Cockpit            , https://i.imgur.com/xR0JjJh.png
23rd June 2025     , Enhanced all WebViews                                           , Fix~, Improved all WebViews with better performance and compatibility.                                                                , Android Webviews   , https://i.imgur.com/N55kp3Z.png
23rd June 2025     , Improved user feedback                                          , Fix~, Added toast notifications for better user feedback throughout the panel.                                                        , Cockpit            , https://i.imgur.com/xR0JjJh.png
23rd June 2025     , Prevented JS caching                                            , Fix~, Prevented JavaScript caching in the panel to ensure the latest scripts are always used.                                         , Cockpit            , https://i.imgur.com/xR0JjJh.png
23rd June 2025     , Prevented CSS caching                                           , Fix~, Prevented custom CSS caching in the panel to ensure the latest styles are always applied.                                       , Cockpit            , https://i.imgur.com/xR0JjJh.png
24th June 2025     , Updated Superadmin page                                         , Fix~, Updated Superadmin page with better layout and functionality for easier management.                                             , Cockpit            , https://i.imgur.com/xR0JjJh.png
24th June 2025     , Added Downloads section to Superadmin page                      , Add~, Added Downloads section to Superadmin page for easier access to module downloads.                                               , Cockpit            , https://i.imgur.com/xR0JjJh.png
24th June 2025     , Added Downloads to header menu for Admins                       , Add~, Added Downloads to header menu for Admins to allow for easier access to module downloads.                                       , Cockpit            , https://i.imgur.com/xR0JjJh.png
26th June 2025     , Added support for StreamBox 5.1.0 Mods                          , Add~, Added support for the StreamBox 5.1.0 mods.                                                                                     , StreamBox          , https://i.imgur.com/qHBgnHI.png
26th June 2025     , Updated caching of WebViews for modules                         , Add~, Updated caching of WebViews for modules to improve performance and reduce load times.                                           , Cockpit            , https://i.imgur.com/xR0JjJh.png
29th June 2025     , Added Mega IPTV Module                                          , Add~, Added support for the Mega IPTV Mods.                                                                                           , Mega IPTV          , https://i.imgur.com/MgHbG6w.png
1st July 2025      , Clear cache on updates to WebViews                              , Fix~, Clear cache on updates to WebViews to ensure the latest content is always displayed.                                            , Android Webviews   , https://i.imgur.com/N55kp3Z.png
1st July 2025      , Added QSmart IPTV Module                                        , Add~, Added support for the QSmart IPTV Mods.                                                                                         , QSmart IPTV        , https://i.imgur.com/838UOKW.png
8th July 2025      , Fixed an issue with caching Settings                            , Fix~, Fixed an issue with caching Settings in the panel to ensure the latest settings are always applied.                             , Cockpit            , https://i.imgur.com/xR0JjJh.png
8th July 2025      , Fixed an issue with IBO Sol. 3.9 login mod                      , Fix~, Fixed an issue with the IBO Solutions 3.9 login mod where it would not work as expected due to a missing endpoint.              , IBO Solutions      , https://i.imgur.com/z13H3dJ.png
8th July 2025      , Updated IBO Sol. 4.3 login mod                                  , Add~, Updated the IBO Solutions 4.3 login mod to work with the latest panel changes and ensure compatibility.                         , IBO Solutions      , https://i.imgur.com/z13H3dJ.png
8th July 2025      , Fixed an issue with Uploading APKs                              , Fix~, Fixed an issue with uploading APKs in the panel where it would not work as expected.                                            , Cockpit            , https://i.imgur.com/xR0JjJh.png
8th July 2025      , Fixed misc bugs and issues                                      , Fix~, Fixed various miscellaneous bugs and issues throughout the panel and modules to improve overall stability and performance.      , Cockpit            , https://i.imgur.com/xR0JjJh.png
